time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms
30.5000,24,187,12,55,0.3055,0.0612,0.6661,0.4189,0.3270,579.5139,0.0000,0.0000,0.6945,0.9387,0.7277,22.2632
31.0000,23,186,13,57,0.2875,0.0669,0.6323,0.3953,0.2965,592.5427,0.0000,0.0000,0.7125,0.9331,0.7179,22.1166
31.5000,24,189,10,55,0.3031,0.0544,0.6904,0.4213,0.3393,592.5427,0.0000,0.0000,0.6969,0.9456,0.7315,19.8217
32.0000,25,187,12,54,0.3164,0.0619,0.6716,0.4302,0.3369,592.5427,0.0000,0.0000,0.6836,0.9381,0.7309,19.1936
32.5000,24,187,12,56,0.3000,0.0612,0.6621,0.4129,0.3213,592.5427,0.0000,0.0000,0.7000,0.9387,0.7258,22.3877
33.0000,23,187,12,56,0.2930,0.0625,0.6522,0.4043,0.3113,592.5427,0.0000,0.0000,0.7070,0.9375,0.7227,22.4108
33.5000,25,187,12,54,0.3211,0.0622,0.6738,0.4349,0.3410,649.8959,0.0000,0.0000,0.6789,0.9378,0.7322,18.1146
34.0000,24,187,12,55,0.3063,0.0603,0.6701,0.4204,0.3297,641.5759,0.0000,0.0000,0.6937,0.9397,0.7285,18.2715
34.5000,23,189,10,56,0.2992,0.0534,0.6913,0.4177,0.3373,641.5759,0.0000,0.0000,0.7008,0.9466,0.7308,21.0932
35.0000,25,187,12,54,0.3195,0.0616,0.6749,0.4337,0.3407,641.5759,0.0000,0.0000,0.6805,0.9384,0.7321,18.5560
35.5000,24,186,13,55,0.3031,0.0688,0.6382,0.4110,0.3092,641.5759,0.0000,0.0000,0.6969,0.9313,0.7219,18.8187
36.0000,24,188,12,56,0.3000,0.0600,0.6667,0.4138,0.3239,641.5759,0.0000,0.0000,0.7000,0.9400,0.7267,18.0006
36.5000,22,187,12,57,0.2773,0.0628,0.6385,0.3867,0.2939,641.5759,0.0000,0.0000,0.7227,0.9372,0.7172,20.0552
37.0000,24,186,14,56,0.3000,0.0700,0.6316,0.4068,0.3034,641.5759,0.0000,0.0000,0.7000,0.9300,0.7200,18.4038
37.5000,23,187,12,57,0.2875,0.0616,0.6513,0.3989,0.3075,641.5759,0.0000,0.0000,0.7125,0.9384,0.7215,21.2260
38.0000,24,187,12,55,0.3039,0.0622,0.6616,0.4165,0.3234,641.5759,0.0000,0.0000,0.6961,0.9378,0.7265,22.1815
38.5000,25,187,12,54,0.3164,0.0638,0.6650,0.4288,0.3330,641.5759,0.0000,0.0000,0.6836,0.9363,0.7296,22.3454
39.0000,22,187,12,57,0.2836,0.0641,0.6391,0.3929,0.2981,641.5759,0.0000,0.0000,0.7164,0.9359,0.7185,21.1335
39.5000,24,186,13,55,0.3070,0.0666,0.6485,0.4168,0.3176,641.5759,0.0000,0.0000,0.6930,0.9334,0.7246,20.1034
40.0000,24,187,12,55,0.3016,0.0631,0.6565,0.4133,0.3190,641.5759,0.0000,0.0000,0.6984,0.9369,0.7251,18.7289
40.5000,23,185,14,56,0.2891,0.0731,0.6126,0.3928,0.2856,641.5759,0.0000,0.0000,0.7109,0.9269,0.7143,21.6369
41.0000,24,186,13,55,0.3070,0.0663,0.6496,0.4170,0.3183,641.5759,0.0000,0.0000,0.6930,0.9337,0.7248,19.0616
41.5000,24,187,12,55,0.3078,0.0634,0.6600,0.4198,0.3248,641.5759,0.0000,0.0000,0.6922,0.9366,0.7270,18.6477
42.0000,23,186,13,56,0.2953,0.0688,0.6321,0.4026,0.3009,641.5759,0.0000,0.0000,0.7047,0.9313,0.7193,20.5179
42.5000,23,187,12,56,0.2984,0.0625,0.6564,0.4103,0.3170,641.5759,0.0000,0.0000,0.7016,0.9375,0.7245,22.4060
43.0000,25,188,12,54,0.3141,0.0600,0.6768,0.4290,0.3384,641.5759,0.0000,0.0000,0.6859,0.9400,0.7314,18.6980
43.5000,24,186,13,55,0.3023,0.0656,0.6482,0.4124,0.3147,641.5759,0.0000,0.0000,0.6977,0.9344,0.7237,18.7609
44.0000,23,186,13,56,0.2930,0.0653,0.6421,0.4024,0.3055,641.5759,0.0000,0.0000,0.7070,0.9347,0.7208,21.7110
44.5000,24,189,10,55,0.3086,0.0534,0.6979,0.4280,0.3470,641.5759,0.0000,0.0000,0.6914,0.9466,0.7339,20.6751
45.0000,23,188,11,56,0.2922,0.0575,0.6703,0.4070,0.3211,641.5759,0.0000,0.0000,0.7078,0.9425,0.7257,19.7304
45.5000,23,186,13,56,0.2930,0.0675,0.6345,0.4009,0.3010,641.5759,0.0000,0.0000,0.7070,0.9325,0.7193,22.2118
46.0000,24,187,12,55,0.3109,0.0622,0.6667,0.4241,0.3307,641.5759,0.0000,0.0000,0.6891,0.9378,0.7289,18.0212
46.5000,25,187,12,54,0.3148,0.0644,0.6617,0.4267,0.3302,641.5759,0.0000,0.0000,0.6852,0.9356,0.7287,18.9511
47.0000,23,188,11,56,0.2977,0.0584,0.6708,0.4123,0.3248,641.5759,0.0000,0.0000,0.7023,0.9416,0.7269,18.0575
47.5000,22,187,12,57,0.2867,0.0616,0.6507,0.3980,0.3066,641.5759,0.0000,0.0000,0.7133,0.9384,0.7212,22.0375
48.0000,22,188,12,57,0.2805,0.0600,0.6515,0.3921,0.3033,641.5759,0.0000,0.0000,0.7195,0.9400,0.7202,21.3422
48.5000,22,186,13,57,0.2867,0.0691,0.6241,0.3929,0.2912,641.5759,0.0000,0.0000,0.7133,0.9309,0.7162,22.3653
49.0000,22,185,14,57,0.2859,0.0709,0.6172,0.3908,0.2866,641.5759,0.0000,0.0000,0.7141,0.9291,0.7147,20.7099
49.5000,24,187,12,55,0.3086,0.0647,0.6561,0.4198,0.3231,641.5759,0.0000,0.0000,0.6914,0.9353,0.7264,19.6008
50.0000,22,188,11,57,0.2797,0.0581,0.6581,0.3925,0.3064,641.5759,0.0000,0.0000,0.7203,0.9419,0.7211,21.0695
50.5000,24,187,12,55,0.3016,0.0631,0.6565,0.4133,0.3190,641.5759,0.0000,0.0000,0.6984,0.9369,0.7251,18.6500
51.0000,25,186,13,54,0.3164,0.0663,0.6564,0.4270,0.3279,641.5759,0.0000,0.0000,0.6836,0.9337,0.7280,17.9266
51.5000,24,186,13,55,0.3016,0.0669,0.6433,0.4106,0.3113,641.5759,0.0000,0.0000,0.6984,0.9331,0.7226,20.3205
52.0000,23,185,14,56,0.2883,0.0737,0.6099,0.3915,0.2836,641.5759,0.0000,0.0000,0.7117,0.9263,0.7136,20.0433
52.5000,26,187,12,54,0.3250,0.0609,0.6809,0.4400,0.3476,641.5759,0.0000,0.0000,0.6750,0.9391,0.7344,22.2566
53.0000,24,186,13,55,0.3031,0.0653,0.6499,0.4134,0.3161,641.5759,0.0000,0.0000,0.6969,0.9347,0.7242,22.1859
53.5000,21,187,12,58,0.2703,0.0647,0.6257,0.3775,0.2824,641.5759,0.0000,0.0000,0.7297,0.9353,0.7136,21.2881
54.0000,23,185,14,56,0.2938,0.0716,0.6215,0.3989,0.2937,641.5759,0.0000,0.0000,0.7063,0.9284,0.7169,20.4526
54.5000,25,187,12,54,0.3156,0.0638,0.6645,0.4280,0.3322,641.5759,0.0000,0.0000,0.6844,0.9363,0.7294,20.1754
55.0000,24,186,13,55,0.3117,0.0694,0.6425,0.4198,0.3168,641.5759,0.0000,0.0000,0.6883,0.9306,0.7243,19.6118
55.5000,24,188,11,55,0.3055,0.0578,0.6788,0.4213,0.3342,641.5759,0.0000,0.0000,0.6945,0.9422,0.7299,22.2434
56.0000,22,186,13,57,0.2781,0.0663,0.6268,0.3853,0.2877,641.5759,0.0000,0.0000,0.7219,0.9337,0.7152,21.3774
56.5000,24,187,12,55,0.3047,0.0631,0.6588,0.4167,0.3222,641.5759,0.0000,0.0000,0.6953,0.9369,0.7261,18.5625
57.0000,22,186,13,57,0.2797,0.0688,0.6194,0.3854,0.2843,641.5759,0.0000,0.0000,0.7203,0.9313,0.7141,20.7182
57.5000,24,186,13,55,0.3086,0.0688,0.6423,0.4169,0.3148,641.5759,0.0000,0.0000,0.6914,0.9313,0.7237,20.4525
58.0000,22,186,13,57,0.2867,0.0659,0.6349,0.3950,0.2975,641.5759,0.0000,0.0000,0.7133,0.9341,0.7183,19.0169
58.5000,25,186,13,54,0.3211,0.0656,0.6618,0.4324,0.3340,641.5759,0.0000,0.0000,0.6789,0.9344,0.7299,19.8492
59.0000,24,187,12,56,0.3000,0.0606,0.6644,0.4133,0.3226,641.5759,0.0000,0.0000,0.7000,0.9394,0.7262,21.7606
59.5000,25,186,13,54,0.3148,0.0675,0.6511,0.4244,0.3238,641.5759,0.0000,0.0000,0.6852,0.9325,0.7266,18.0241
60.0000,23,187,12,56,0.2992,0.0647,0.6492,0.4096,0.3133,641.5759,0.0000,0.0000,0.7008,0.9353,0.7233,21.5932
60.5000,23,186,13,56,0.2914,0.0681,0.6311,0.3987,0.2981,641.5759,0.0000,0.0000,0.7086,0.9319,0.7184,18.4600
61.0000,27,185,15,52,0.3469,0.0750,0.6491,0.4521,0.3415,641.5759,0.0000,0.0000,0.6531,0.9250,0.7323,20.9710
61.5000,23,187,12,56,0.2984,0.0612,0.6609,0.4112,0.3196,641.5759,0.0000,0.0000,0.7016,0.9387,0.7253,22.0128
62.0000,25,187,12,54,0.3133,0.0641,0.6617,0.4252,0.3292,641.5759,0.0000,0.0000,0.6867,0.9359,0.7284,20.2978
62.5000,24,186,13,55,0.3016,0.0697,0.6338,0.4087,0.3056,641.5759,0.0000,0.0000,0.6984,0.9303,0.7207,22.4542
63.0000,23,187,12,56,0.2945,0.0647,0.6455,0.4045,0.3084,641.5759,0.0000,0.0000,0.7055,0.9353,0.7217,21.7699
63.5000,23,187,12,56,0.2969,0.0634,0.6518,0.4079,0.3134,641.5759,0.0000,0.0000,0.7031,0.9366,0.7233,20.4841
64.0000,22,186,13,57,0.2773,0.0672,0.6228,0.3838,0.2849,641.5759,0.0000,0.0000,0.7227,0.9328,0.7143,19.8064
64.5000,23,186,13,57,0.2875,0.0681,0.6280,0.3944,0.2939,641.5759,0.0000,0.0000,0.7125,0.9319,0.7171,19.6152
65.0000,23,186,13,56,0.2898,0.0694,0.6256,0.3962,0.2939,641.5759,0.0000,0.0000,0.7102,0.9306,0.7170,18.8541
65.5000,24,187,12,55,0.3031,0.0631,0.6576,0.4150,0.3206,641.5759,0.0000,0.0000,0.6969,0.9369,0.7256,19.2371
66.0000,22,188,11,57,0.2773,0.0594,0.6514,0.3890,0.3012,641.5759,0.0000,0.0000,0.7227,0.9406,0.7195,21.2148
66.5000,23,187,12,56,0.2922,0.0606,0.6585,0.4048,0.3144,641.5759,0.0000,0.0000,0.7078,0.9394,0.7236,18.6572
67.0000,23,186,13,56,0.2945,0.0653,0.6433,0.4041,0.3071,641.5759,0.0000,0.0000,0.7055,0.9347,0.7213,20.0229
67.5000,24,187,12,55,0.3063,0.0616,0.6655,0.4195,0.3271,641.5759,0.0000,0.0000,0.6937,0.9384,0.7277,21.0476
68.0000,24,187,12,55,0.3031,0.0612,0.6644,0.4163,0.3245,641.5759,0.0000,0.0000,0.6969,0.9387,0.7269,18.8074
68.5000,24,187,12,55,0.3016,0.0603,0.6667,0.4153,0.3249,641.5759,0.0000,0.0000,0.6984,0.9397,0.7270,20.4114
69.0000,23,188,11,56,0.2984,0.0581,0.6725,0.4134,0.3263,641.5759,0.0000,0.0000,0.7016,0.9419,0.7274,19.1814
69.5000,23,188,11,56,0.2938,0.0575,0.6714,0.4087,0.3227,641.5759,0.0000,0.0000,0.7063,0.9425,0.7262,21.8704
70.0000,23,187,12,56,0.2992,0.0641,0.6514,0.4101,0.3146,641.5759,0.0000,0.0000,0.7008,0.9359,0.7237,18.4874
70.5000,23,186,13,56,0.2984,0.0697,0.6314,0.4053,0.3024,641.5759,0.0000,0.0000,0.7016,0.9303,0.7197,21.3593
71.0000,25,185,14,54,0.3195,0.0706,0.6441,0.4272,0.3224,641.5759,0.0000,0.0000,0.6805,0.9294,0.7261,20.9316
71.5000,24,188,11,55,0.3008,0.0584,0.6731,0.4158,0.3280,641.5759,0.0000,0.0000,0.6992,0.9416,0.7280,19.5910
72.0000,22,186,13,57,0.2828,0.0669,0.6285,0.3901,0.2914,641.5759,0.0000,0.0000,0.7172,0.9331,0.7164,20.7700
72.5000,23,186,13,56,0.2906,0.0663,0.6370,0.3991,0.3010,641.5759,0.0000,0.0000,0.7094,0.9337,0.7194,18.2862
73.0000,23,186,13,56,0.2969,0.0684,0.6344,0.4045,0.3032,641.5759,0.0000,0.0000,0.7031,0.9316,0.7200,19.5979
73.5000,23,186,13,56,0.2922,0.0656,0.6404,0.4013,0.3040,641.5759,0.0000,0.0000,0.7078,0.9344,0.7203,18.3428
74.0000,24,187,12,55,0.3063,0.0619,0.6644,0.4193,0.3265,641.5759,0.0000,0.0000,0.6937,0.9381,0.7275,20.9532
74.5000,23,185,14,56,0.2906,0.0719,0.6179,0.3953,0.2898,641.5759,0.0000,0.0000,0.7094,0.9281,0.7156,21.4062
75.0000,23,187,12,57,0.2875,0.0616,0.6513,0.3989,0.3075,641.5759,0.0000,0.0000,0.7125,0.9384,0.7215,22.2236
75.5000,23,185,14,56,0.2898,0.0716,0.6183,0.3947,0.2895,641.5759,0.0000,0.0000,0.7102,0.9284,0.7156,20.4310
76.0000,23,186,13,56,0.2898,0.0653,0.6397,0.3989,0.3021,641.5759,0.0000,0.0000,0.7102,0.9347,0.7197,19.0731
76.5000,23,188,11,56,0.2977,0.0553,0.6828,0.4146,0.3315,641.5759,0.0000,0.0000,0.7023,0.9447,0.7290,18.6427
77.0000,23,186,13,56,0.2938,0.0672,0.6362,0.4019,0.3025,641.5759,0.0000,0.0000,0.7063,0.9328,0.7198,18.2909
77.5000,25,185,14,54,0.3141,0.0703,0.6411,0.4216,0.3174,641.5759,0.0000,0.0000,0.6859,0.9297,0.7245,20.7378
78.0000,25,186,13,55,0.3125,0.0688,0.6452,0.4211,0.3189,641.5759,0.0000,0.0000,0.6875,0.9313,0.7250,19.6333
78.5000,24,188,11,56,0.3000,0.0594,0.6690,0.4142,0.3252,641.5759,0.0000,0.0000,0.7000,0.9406,0.7271,18.8923
79.0000,25,185,14,54,0.3148,0.0703,0.6417,0.4224,0.3182,641.5759,0.0000,0.0000,0.6852,0.9297,0.7247,21.0389
79.5000,22,187,12,58,0.2750,0.0606,0.6447,0.3855,0.2960,641.5759,0.0000,0.0000,0.7250,0.9394,0.7179,18.0247
80.0000,23,186,13,56,0.2898,0.0669,0.6342,0.3979,0.2989,641.5759,0.0000,0.0000,0.7102,0.9331,0.7187,20.1998
80.5000,23,187,12,56,0.2969,0.0638,0.6507,0.4077,0.3128,641.5759,0.0000,0.0000,0.7031,0.9363,0.7231,21.0367
81.0000,24,187,12,55,0.3117,0.0606,0.6728,0.4261,0.3347,641.5759,0.0000,0.0000,0.6883,0.9394,0.7302,22.2721
81.5000,23,187,12,56,0.2977,0.0619,0.6580,0.4099,0.3175,641.5759,0.0000,0.0000,0.7023,0.9381,0.7246,17.9489
82.0000,23,186,13,56,0.2977,0.0666,0.6414,0.4066,0.3078,641.5759,0.0000,0.0000,0.7023,0.9334,0.7215,21.7754
82.5000,23,186,13,56,0.2938,0.0659,0.6405,0.4028,0.3050,641.5759,0.0000,0.0000,0.7063,0.9341,0.7206,19.6688
83.0000,24,188,11,55,0.3039,0.0569,0.6813,0.4203,0.3346,641.5759,0.0000,0.0000,0.6961,0.9431,0.7301,18.5863
83.5000,23,187,12,56,0.2922,0.0647,0.6437,0.4019,0.3059,641.5759,0.0000,0.0000,0.7078,0.9353,0.7209,19.2474
84.0000,22,187,12,57,0.2867,0.0628,0.6461,0.3972,0.3040,641.5759,0.0000,0.0000,0.7133,0.9372,0.7204,21.8870
84.5000,21,187,12,58,0.2680,0.0644,0.6248,0.3751,0.2805,641.5759,0.0000,0.0000,0.7320,0.9356,0.7131,19.0210
85.0000,24,187,12,55,0.3031,0.0634,0.6565,0.4148,0.3200,641.5759,0.0000,0.0000,0.6969,0.9366,0.7254,17.9862
85.5000,24,187,12,55,0.3031,0.0634,0.6565,0.4148,0.3200,641.5759,0.0000,0.0000,0.6969,0.9366,0.7254,20.5154
86.0000,23,187,12,56,0.2969,0.0644,0.6485,0.4073,0.3115,641.5759,0.0000,0.0000,0.7031,0.9356,0.7227,20.7258
86.5000,23,188,12,56,0.2977,0.0600,0.6649,0.4112,0.3215,641.5759,0.0000,0.0000,0.7023,0.9400,0.7259,21.9504
87.0000,23,186,13,56,0.2961,0.0688,0.6327,0.4034,0.3018,641.5759,0.0000,0.0000,0.7039,0.9313,0.7195,17.9552
87.5000,22,186,13,57,0.2797,0.0681,0.6215,0.3858,0.2855,641.5759,0.0000,0.0000,0.7203,0.9319,0.7145,18.9256
88.0000,21,187,12,58,0.2695,0.0609,0.6389,0.3791,0.2894,641.5759,0.0000,0.0000,0.7305,0.9391,0.7159,19.9227
88.5000,22,187,12,57,0.2836,0.0641,0.6391,0.3929,0.2981,641.5759,0.0000,0.0000,0.7164,0.9359,0.7185,18.1035
89.0000,23,187,12,56,0.2969,0.0619,0.6574,0.4090,0.3167,641.5759,0.0000,0.0000,0.7031,0.9381,0.7244,22.3095
89.5000,23,185,14,56,0.2945,0.0747,0.6120,0.3977,0.2884,641.5759,0.0000,0.0000,0.7055,0.9253,0.7151,20.3669
90.0000,25,186,13,55,0.3125,0.0669,0.6515,0.4224,0.3227,641.5759,0.0000,0.0000,0.6875,0.9331,0.7262,20.8621
90.5000,24,186,13,55,0.3086,0.0656,0.6529,0.4191,0.3212,641.5759,0.0000,0.0000,0.6914,0.9344,0.7258,19.7896
91.0000,22,187,12,57,0.2812,0.0631,0.6406,0.3909,0.2975,641.5759,0.0000,0.0000,0.7188,0.9369,0.7183,21.5715
91.5000,23,187,12,56,0.2984,0.0606,0.6632,0.4116,0.3210,641.5759,0.0000,0.0000,0.7016,0.9394,0.7257,20.5690
92.0000,24,187,12,55,0.3117,0.0631,0.6639,0.4242,0.3295,641.5759,0.0000,0.0000,0.6883,0.9369,0.7285,21.3684
92.5000,21,186,13,58,0.2742,0.0675,0.6190,0.3801,0.2809,641.5759,0.0000,0.0000,0.7258,0.9325,0.7131,20.9522
93.0000,24,186,13,55,0.3094,0.0653,0.6545,0.4202,0.3226,641.5759,0.0000,0.0000,0.6906,0.9347,0.7262,20.0875
93.5000,22,187,12,57,0.2844,0.0638,0.6408,0.3939,0.2995,641.5759,0.0000,0.0000,0.7156,0.9363,0.7190,22.2652
94.0000,24,187,12,55,0.3031,0.0631,0.6576,0.4150,0.3206,641.5759,0.0000,0.0000,0.6969,0.9369,0.7256,19.9593
94.5000,22,185,14,57,0.2859,0.0706,0.6182,0.3910,0.2872,641.5759,0.0000,0.0000,0.7141,0.9294,0.7149,18.4803
95.0000,24,186,13,55,0.3078,0.0663,0.6502,0.4178,0.3191,641.5759,0.0000,0.0000,0.6922,0.9337,0.7251,21.4257
95.5000,24,186,13,55,0.3008,0.0678,0.6395,0.4091,0.3086,641.5759,0.0000,0.0000,0.6992,0.9322,0.7217,19.4817
96.0000,23,186,13,56,0.2969,0.0675,0.6376,0.4051,0.3051,641.5759,0.0000,0.0000,0.7031,0.9325,0.7206,19.1463
96.5000,24,187,12,55,0.3063,0.0622,0.6633,0.4190,0.3258,641.5759,0.0000,0.0000,0.6937,0.9378,0.7273,20.8557
97.0000,22,186,13,57,0.2789,0.0681,0.6209,0.3849,0.2847,641.5759,0.0000,0.0000,0.7211,0.9319,0.7142,22.1858
97.5000,23,188,11,56,0.2984,0.0578,0.6737,0.4136,0.3269,641.5759,0.0000,0.0000,0.7016,0.9422,0.7276,19.1387
98.0000,24,185,14,55,0.3109,0.0731,0.6297,0.4163,0.3086,641.5759,0.0000,0.0000,0.6891,0.9269,0.7216,18.5168
98.5000,22,186,13,57,0.2820,0.0666,0.6289,0.3894,0.2912,641.5759,0.0000,0.0000,0.7180,0.9334,0.7163,18.0226
99.0000,23,187,12,56,0.2930,0.0616,0.6556,0.4050,0.3132,641.5759,0.0000,0.0000,0.7070,0.9384,0.7233,21.7763
99.5000,24,187,12,55,0.3023,0.0616,0.6627,0.4152,0.3231,641.5759,0.0000,0.0000,0.6977,0.9384,0.7264,19.4335
100.0000,23,187,12,56,0.2922,0.0647,0.6437,0.4019,0.3059,641.5759,0.0000,0.0000,0.7078,0.9353,0.7209,19.0938
100.5000,23,187,12,56,0.2961,0.0609,0.6603,0.4088,0.3178,641.5759,0.0000,0.0000,0.7039,0.9391,0.7247,19.0146
101.0000,25,187,12,55,0.3125,0.0625,0.6667,0.4255,0.3316,641.5759,0.0000,0.0000,0.6875,0.9375,0.7292,21.7003
101.5000,23,187,12,56,0.2992,0.0631,0.6547,0.4107,0.3165,641.5759,0.0000,0.0000,0.7008,0.9369,0.7243,18.2145
102.0000,23,186,13,56,0.2992,0.0684,0.6362,0.4070,0.3057,641.5759,0.0000,0.0000,0.7008,0.9316,0.7208,21.4470
102.5000,25,188,11,54,0.3195,0.0569,0.6920,0.4372,0.3506,641.5759,0.0000,0.0000,0.6805,0.9431,0.7353,20.8539
103.0000,25,186,13,55,0.3125,0.0653,0.6568,0.4235,0.3258,641.5759,0.0000,0.0000,0.6875,0.9347,0.7273,20.3708
103.5000,21,186,13,58,0.2719,0.0653,0.6248,0.3789,0.2828,641.5759,0.0000,0.0000,0.7281,0.9347,0.7137,20.1575
104.0000,23,187,12,56,0.2922,0.0609,0.6573,0.4045,0.3137,641.5759,0.0000,0.0000,0.7078,0.9391,0.7234,20.5358
104.5000,23,186,13,56,0.2938,0.0659,0.6405,0.4028,0.3050,641.5759,0.0000,0.0000,0.7063,0.9341,0.7206,20.2395
105.0000,22,186,13,57,0.2812,0.0694,0.6186,0.3867,0.2847,641.5759,0.0000,0.0000,0.7188,0.9306,0.7142,22.0610
105.5000,23,188,11,56,0.2883,0.0597,0.6589,0.4011,0.3123,641.5759,0.0000,0.0000,0.7117,0.9403,0.7230,20.5290
106.0000,23,188,11,56,0.2891,0.0594,0.6607,0.4022,0.3137,641.5759,0.0000,0.0000,0.7109,0.9406,0.7234,19.1145
106.5000,22,187,12,57,0.2781,0.0616,0.6438,0.3884,0.2974,641.5759,0.0000,0.0000,0.7219,0.9384,0.7183,21.6578
107.0000,23,186,13,56,0.2883,0.0656,0.6373,0.3970,0.2998,641.5759,0.0000,0.0000,0.7117,0.9344,0.7190,18.6832
107.5000,23,186,13,56,0.2922,0.0666,0.6371,0.4006,0.3021,641.5759,0.0000,0.0000,0.7078,0.9334,0.7197,19.3270
108.0000,25,188,11,54,0.3211,0.0581,0.6884,0.4379,0.3496,641.5759,0.0000,0.0000,0.6789,0.9419,0.7349,18.0965
108.5000,23,185,14,56,0.2938,0.0737,0.6144,0.3975,0.2894,641.5759,0.0000,0.0000,0.7063,0.9263,0.7154,19.1468
109.0000,23,187,12,56,0.2977,0.0634,0.6524,0.4088,0.3143,641.5759,0.0000,0.0000,0.7023,0.9366,0.7236,21.7623
109.5000,21,187,12,58,0.2719,0.0631,0.6327,0.3803,0.2874,641.5759,0.0000,0.0000,0.7281,0.9369,0.7152,21.4847
110.0000,23,186,13,56,0.2945,0.0672,0.6368,0.4028,0.3033,641.5759,0.0000,0.0000,0.7055,0.9328,0.7201,20.8007
110.5000,24,186,13,55,0.3070,0.0672,0.6464,0.4163,0.3164,641.5759,0.0000,0.0000,0.6930,0.9328,0.7242,19.7351
111.0000,23,187,12,56,0.2977,0.0619,0.6580,0.4099,0.3175,641.5759,0.0000,0.0000,0.7023,0.9381,0.7246,22.2376
111.5000,23,185,14,56,0.2891,0.0734,0.6116,0.3926,0.2850,641.5759,0.0000,0.0000,0.7109,0.9266,0.7141,21.7667
112.0000,22,186,13,57,0.2805,0.0663,0.6287,0.3879,0.2902,641.5759,0.0000,0.0000,0.7195,0.9337,0.7160,18.8537
112.5000,22,186,13,57,0.2789,0.0684,0.6198,0.3847,0.2841,641.5759,0.0000,0.0000,0.7211,0.9316,0.7140,20.7052
113.0000,20,187,12,59,0.2594,0.0603,0.6324,0.3679,0.2796,641.5759,0.0000,0.0000,0.7406,0.9397,0.7129,20.8227
113.5000,24,187,12,55,0.3031,0.0606,0.6667,0.4168,0.3258,641.5759,0.0000,0.0000,0.6969,0.9394,0.7273,22.1558
114.0000,24,186,13,55,0.3023,0.0694,0.6355,0.4097,0.3071,641.5759,0.0000,0.0000,0.6977,0.9306,0.7212,21.9115
114.5000,21,187,12,58,0.2719,0.0628,0.6339,0.3805,0.2880,641.5759,0.0000,0.0000,0.7281,0.9372,0.7154,18.0965
115.0000,24,188,11,55,0.3023,0.0591,0.6719,0.4170,0.3283,641.5759,0.0000,0.0000,0.6977,0.9409,0.7281,19.1663
115.5000,23,188,11,56,0.2938,0.0594,0.6643,0.4074,0.3187,641.5759,0.0000,0.0000,0.7063,0.9406,0.7250,21.6893
116.0000,22,187,12,57,0.2836,0.0619,0.6471,0.3944,0.3026,641.5759,0.0000,0.0000,0.7164,0.9381,0.7199,21.1563
116.5000,23,186,13,56,0.2953,0.0678,0.6353,0.4032,0.3028,641.5759,0.0000,0.0000,0.7047,0.9322,0.7199,18.9540
117.0000,24,187,12,55,0.3086,0.0644,0.6572,0.4200,0.3237,641.5759,0.0000,0.0000,0.6914,0.9356,0.7266,20.0549
117.5000,25,187,12,54,0.3227,0.0638,0.6694,0.4354,0.3394,641.5759,0.0000,0.0000,0.6773,0.9363,0.7317,21.3885
118.0000,23,187,12,56,0.2898,0.0603,0.6578,0.4024,0.3126,641.5759,0.0000,0.0000,0.7102,0.9397,0.7231,21.1847
118.5000,24,187,12,55,0.3016,0.0641,0.6531,0.4126,0.3171,641.5759,0.0000,0.0000,0.6984,0.9359,0.7245,20.2711
